SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,sitting,0.4,0.71,0.35,0.54,0.49,0.43,1,0.24,0.12,0.03,0.27,0.32,0.4,0.4,0.44,0.22,0.22,0.18,0.4,0.58,0.354736842,0.293846154,0.486666667,,,,
,furniture,0.32,0.4,0.25,0.22,0.08,0.13,0.24,1,0.55,0.2,0.25,0.2,0.13,0.09,0.12,0.09,0.17,0.03,0.21,0.46,0.217894737,0.208333333,0.234285714,,,,
,wood,0.15,0.08,0.13,0.11,0.05,0.16,0.12,0.55,1,0.3,0.03,0.26,0.14,0.04,0.09,0.09,0.25,0.03,0.12,0.09,0.146842105,0.130909091,0.16875,,,,
,utensil,0.14,0.11,0.1,0,0.02,0.06,0.03,0.2,0.3,1,-0.07,0.07,0,-0.01,0.04,-0.03,0.05,0.02,0.02,0.02,0.056315789,0.011,0.106666667,,,,
,vase,0.32,0.45,0.33,0.26,0.09,0.13,0.27,0.25,0.03,-0.07,1,0.19,0.12,0.14,0.2,0.16,0.09,0.08,0.1,0.38,0.185263158,0.162222222,0.206,,,,
,candle,0.28,0.38,0.31,0.22,0.09,0.22,0.32,0.2,0.26,0.07,0.19,1,0.03,0.03,0.21,0.14,0.18,0.2,0.08,0.4,0.200526316,0.15875,0.230909091,,,,
,leg,0.14,0.26,0.12,0.18,0.22,0.17,0.4,0.13,0.14,0,0.12,0.03,1,0.19,0.13,0.06,0.14,0.06,0.17,0.16,0.148421053,0.13,0.159166667,,,,
,lunch,0.27,0.3,0.32,0.6,0.29,0.17,0.4,0.09,0.04,-0.01,0.14,0.03,0.19,1,0.62,0.3,0.14,0.09,0.4,0.27,0.244736842,0.303333333,0.217692308,,,,
,breakfast,0.43,0.41,0.45,0.65,0.2,0.15,0.44,0.12,0.09,0.04,0.2,0.21,0.13,0.62,1,0.34,0.2,0.11,0.27,0.32,0.283157895,0.248,0.295714286,,,,
,holiday,0.14,0.11,0.28,0.33,0.18,0.26,0.22,0.09,0.09,-0.03,0.16,0.14,0.06,0.3,0.34,1,0.32,0.33,0.29,0.1,0.195263158,0.26,0.178,,,,
,gather,0.11,0.13,0.09,0.2,0.09,0.25,0.22,0.17,0.25,0.05,0.09,0.18,0.14,0.14,0.2,0.32,1,0.16,0.28,0.14,0.168947368,0.193333333,0.164375,,,,
,prayer,0.06,0.18,0.05,0.1,0.15,0.24,0.18,0.03,0.03,0.02,0.08,0.2,0.06,0.09,0.11,0.33,0.16,1,0.11,0.15,0.122631579,0.13,0.121764706,,,,
,home,0.13,0.22,0.15,0.5,0.18,0.28,0.4,0.21,0.12,0.02,0.1,0.08,0.17,0.4,0.27,0.29,0.28,0.11,1,0.25,0.218947368,0.25,0.217222222,,,,
,room,0.44,0.75,0.36,0.38,0.22,0.25,0.58,0.46,0.09,0.02,0.38,0.4,0.16,0.27,0.32,0.1,0.14,0.15,0.25,1,0.301052632,,0.301052632,,,,
,,,,,,,,,,,,,,,,,,,,,,0.225315789,0.21251923,0.275613703,,,,
213,Document,table,chair,floor,flowers,tablecloth,tile,wood,kitchen,home,meal,food,studying,family,stable,hard,round,triangular,rectangular,big,small,,,,,,,0
,table,1,0.61,0.22,0.07,0.64,0.05,0.15,0.58,0.13,0.37,0.08,0.05,0.12,0.18,0.09,0.22,0.04,0.14,0.1,0.14,0.209473684,0.209473684,,0.255263158,0.162222222,0.201764706,
,chair,0.61,1,0.5,0.08,0.47,0.11,0.08,0.66,0.22,0.25,0.04,0.16,0.11,0.04,0.23,0.34,0.04,0.08,0.23,0.19,0.233684211,0.212777778,0.61,,,,
,floor,0.22,0.5,1,0.1,0.19,0.37,0.13,0.39,0.14,0.09,0.09,0.13,0.09,0.08,0.28,0.27,0.1,0.17,0.18,0.19,0.195263158,0.175882353,0.36,,,,
,flowers,0.07,0.08,0.1,1,0.16,0.04,0.09,0.11,0.19,0.07,0.1,0.11,0.11,0.01,0.16,0.19,0.01,0.01,0.14,0.16,0.100526316,0.10375,0.083333333,,,,
,tablecloth,0.64,0.47,0.19,0.16,1,0.04,0.13,0.62,0.15,0.4,0.06,-0.01,0.07,0.05,0.11,0.26,0.07,0.11,0.11,0.14,0.198421053,0.154,0.365,,,,
,tile,0.05,0.11,0.37,0.04,0.04,1,0.38,0.14,0.11,0.01,0.02,0.05,0.04,0,0.16,0.13,0.2,0.34,0,0.07,0.118947368,0.117857143,0.122,,,,
,wood,0.15,0.08,0.13,0.09,0.13,0.38,1,0.17,0.12,0.09,0.14,0.03,0.04,0.06,0.27,0.21,0.22,0.32,0.1,0.18,0.153157895,0.15,0.16,,,,
,kitchen,0.58,0.66,0.39,0.11,0.62,0.14,0.17,1,0.35,0.47,0.14,0.07,0.16,0.07,0.21,0.22,0,0.09,0.22,0.16,0.254210526,0.18,0.381428571,,,,
,home,0.13,0.22,0.14,0.19,0.15,0.11,0.12,0.35,1,0.25,0.16,0.17,0.35,0.1,0.25,0.27,0.06,0.1,0.28,0.25,0.192105263,0.203636364,0.17625,,,,
,meal,0.37,0.25,0.09,0.07,0.4,0.01,0.09,0.47,0.25,1,0.55,0.09,0.2,0.05,0.19,0.17,0.01,0.07,0.16,0.22,0.195263158,0.171,0.222222222,,,,
,food,0.08,0.04,0.09,0.1,0.06,0.02,0.14,0.14,0.16,0.55,1,0.08,0.13,0.04,0.22,0.07,0.01,0,0.08,0.31,0.122105263,0.104444444,0.138,,,,
,studying,0.05,0.16,0.13,0.11,-0.01,0.05,0.03,0.07,0.17,0.09,0.08,1,0.11,0.12,0.19,0.11,0.06,0.04,0.09,0.22,0.098421053,0.1175,0.084545455,,,,
,family,0.12,0.11,0.09,0.11,0.07,0.04,0.04,0.16,0.35,0.2,0.13,0.11,1,0.11,0.18,0.09,0.01,0.04,0.15,0.19,0.121052632,0.11,0.1275,,,,
,stable,0.18,0.04,0.08,0.01,0.05,0,0.06,0.07,0.1,0.05,0.04,0.12,0.11,1,0.12,0.12,0.13,0.07,0.1,0.18,0.085789474,0.12,0.07,,,,
,hard,0.09,0.23,0.28,0.16,0.11,0.16,0.27,0.21,0.25,0.19,0.22,0.19,0.18,0.12,1,0.29,0.12,0.04,0.32,0.32,0.197368421,0.218,0.19,,,,
,round,0.22,0.34,0.27,0.19,0.26,0.13,0.21,0.22,0.27,0.17,0.07,0.11,0.09,0.12,0.29,1,0.24,0.27,0.32,0.33,0.216842105,0.29,0.197333333,,,,
,triangular,0.04,0.04,0.1,0.01,0.07,0.2,0.22,0,0.06,0.01,0.01,0.06,0.01,0.13,0.12,0.24,1,0.36,0.08,0.29,0.107894737,0.243333333,0.0825,,,,
,rectangular,0.14,0.08,0.17,0.01,0.11,0.34,0.32,0.09,0.1,0.07,0,0.04,0.04,0.07,0.04,0.27,0.36,1,0.1,0.26,0.137368421,0.18,0.132352941,,,,
,big,0.1,0.23,0.18,0.14,0.11,0,0.1,0.22,0.28,0.16,0.08,0.09,0.15,0.1,0.32,0.32,0.08,0.1,1,0.33,0.162631579,0.33,0.153333333,,,,
,small,0.14,0.19,0.19,0.16,0.14,0.07,0.18,0.16,0.25,0.22,0.31,0.22,0.19,0.18,0.32,0.33,0.29,0.26,0.33,1,0.217368421,,0.217368421,,,,
,,,,,,,,,,,,,,,,,,,,,,0.165894737,0.178508163,0.203099955,,,,
214,Document,table,table salt,pepper,table mats,cup,drink,plate,food,family,conversation,meal,dinner,breakfast,lunch,coffee table,meeting,chair,television,cooking,pots,,,,,,,0
,table,1,0.82,0.18,0.99,0.44,0.12,0.32,0.08,0.12,0.21,0.37,0.57,0.43,0.27,0.95,0.17,0.61,0.05,0.21,0.23,0.375789474,0.375789474,,0.323157895,0.301666667,0.308235294,
,table salt,0.82,1,0.25,0.82,0.44,0.14,0.25,0.15,0.1,0.18,0.38,0.46,0.38,0.24,0.79,0.15,0.46,0.04,0.29,0.28,0.348421053,0.322222222,0.82,,,,
,pepper,0.18,0.25,1,0.2,0.33,0.17,0.12,0.14,0.1,0.08,0.32,0.27,0.22,0.3,0.23,0.03,0.24,0.04,0.39,0.3,0.205789474,0.204705882,0.215,,,,
,table mats,0.99,0.82,0.2,1,0.45,0.12,0.33,0.1,0.14,0.21,0.39,0.57,0.43,0.27,0.95,0.19,0.62,0.05,0.25,0.28,0.387368421,0.334375,0.67,,,,
,cup,0.44,0.44,0.33,0.45,1,0.4,0.37,0.15,0.06,0.23,0.44,0.55,0.55,0.41,0.59,0.12,0.42,0.06,0.39,0.35,0.355263158,0.339333333,0.415,,,,
,drink,0.12,0.14,0.17,0.12,0.4,1,0.08,0.19,0.09,0.08,0.27,0.23,0.18,0.21,0.22,0.02,0.09,0.01,0.12,0.1,0.149473684,0.135,0.19,,,,
,plate,0.32,0.25,0.12,0.33,0.37,0.08,1,0.1,0.02,0.14,0.24,0.37,0.23,0.17,0.34,0.08,0.19,0.06,0.16,0.16,0.196315789,0.173846154,0.245,,,,
,food,0.08,0.15,0.14,0.1,0.15,0.19,0.1,1,0.13,0.06,0.55,0.21,0.17,0.2,0.11,0.08,0.04,0.05,0.42,0.15,0.162105263,0.180833333,0.13,,,,
,family,0.12,0.1,0.1,0.14,0.06,0.09,0.02,0.13,1,0.12,0.2,0.23,0.13,0.13,0.12,0.1,0.11,0.12,0.18,0.17,0.124736842,0.146363636,0.095,,,,
,conversation,0.21,0.18,0.08,0.21,0.23,0.08,0.14,0.06,0.12,1,0.2,0.41,0.22,0.26,0.24,0.43,0.32,0.12,0.11,0.04,0.192631579,0.235,0.145555556,,,,
,meal,0.37,0.38,0.32,0.39,0.44,0.27,0.24,0.55,0.2,0.2,1,0.62,0.54,0.5,0.43,0.14,0.25,0.06,0.66,0.28,0.36,0.386666667,0.336,,,,
,dinner,0.57,0.46,0.27,0.57,0.55,0.23,0.37,0.21,0.23,0.41,0.62,1,0.65,0.6,0.64,0.28,0.48,0.08,0.42,0.31,0.418421053,0.4325,0.408181818,,,,
,breakfast,0.43,0.38,0.22,0.43,0.55,0.18,0.23,0.17,0.13,0.22,0.54,0.65,1,0.62,0.54,0.12,0.41,0.06,0.35,0.29,0.343157895,0.341428571,0.344166667,,,,
,lunch,0.27,0.24,0.3,0.27,0.41,0.21,0.17,0.2,0.13,0.26,0.5,0.6,0.62,1,0.36,0.19,0.3,0.08,0.31,0.23,0.297368421,0.245,0.321538462,,,,
,coffee table,0.95,0.79,0.23,0.95,0.59,0.22,0.34,0.11,0.12,0.24,0.43,0.64,0.54,0.36,1,0.17,0.64,0.06,0.28,0.27,0.417368421,0.284,0.465,,,,
,meeting,0.17,0.15,0.03,0.19,0.12,0.02,0.08,0.08,0.1,0.43,0.14,0.28,0.12,0.19,0.17,1,0.25,0.07,0.1,0.05,0.144210526,0.1175,0.151333333,,,,
,chair,0.61,0.46,0.24,0.62,0.42,0.09,0.19,0.04,0.11,0.32,0.25,0.48,0.41,0.3,0.64,0.25,1,0.11,0.15,0.21,0.310526316,0.156666667,0.339375,,,,
,television,0.05,0.04,0.04,0.05,0.06,0.01,0.06,0.05,0.12,0.12,0.06,0.08,0.06,0.08,0.06,0.07,0.11,1,0.06,0,0.062105263,0.03,0.065882353,,,,
,cooking,0.21,0.29,0.39,0.25,0.39,0.12,0.16,0.42,0.18,0.11,0.66,0.42,0.35,0.31,0.28,0.1,0.15,0.06,1,0.55,0.284210526,0.55,0.269444444,,,,
,pots,0.23,0.28,0.3,0.28,0.35,0.1,0.16,0.15,0.17,0.04,0.28,0.31,0.29,0.23,0.27,0.05,0.21,0,0.55,1,0.223684211,,0.223684211,,,,
,,,,,,,,,,,,,,,,,,,,,,0.267947368,0.262696365,0.312582091,,,,
215,Document,table,plate,food,biscuit,chicken,honey,cheese,dog,leash,quiche,eggs,broccoli,tree,snake,squirrel,bunny,cat,water,river,lake,,,,,,,0
,table,1,0.32,0.08,0.3,0.28,0.16,0.17,0.04,0.13,0.05,0.06,0.02,0.03,0.04,0.02,0.01,0.08,0.11,0.02,0.01,0.101578947,0.101578947,,0.227894737,0.204444444,0.171176471,
,plate,0.32,1,0.1,0.24,0.25,0.1,0.14,0.03,0.07,0.1,0.08,0.02,-0.04,0.04,-0.03,0.09,-0.01,0.07,0.01,-0.03,0.081578947,0.068333333,0.32,,,,
,food,0.08,0.1,1,0.1,0.26,0.24,0.3,0.06,0.1,0.28,0.16,0.22,0.13,0.17,0.14,0.07,0.11,0.26,0.06,0.07,0.153157895,0.160588235,0.09,,,,
,biscuit,0.3,0.24,0.1,1,0.41,0.17,0.33,0.31,0.32,0.2,0.19,0.14,0.09,0.08,0.19,0.13,0.14,0.14,0.06,0.08,0.190526316,0.18625,0.213333333,,,,
,chicken,0.28,0.25,0.26,0.41,1,0.24,0.59,0.14,0.24,0.38,0.53,0.37,0.1,0.23,0.18,0.15,0.17,0.13,0.05,0.05,0.25,0.236666667,0.3,,,,
,honey,0.16,0.1,0.24,0.17,0.24,1,0.22,0,0.11,0.11,0.23,0.14,0.18,0.16,0.21,0.11,0.02,0.07,0.11,-0.03,0.134210526,0.117142857,0.182,,,,
,cheese,0.17,0.14,0.3,0.33,0.59,0.22,1,0.06,0.1,0.65,0.32,0.57,0.06,0.11,0.05,0.03,0.11,0.08,0.03,0.02,0.207368421,0.168461538,0.291666667,,,,
,dog,0.04,0.03,0.06,0.31,0.14,0,0.06,1,0.82,-0.02,0.03,0.01,0.06,0.05,0.19,0.2,0.36,0.06,0.02,0.05,0.13,0.1525,0.091428571,,,,
,leash,0.13,0.07,0.1,0.32,0.24,0.11,0.1,0.82,1,0.04,0.06,0.05,0.07,0,0.21,0.19,0.24,0.05,0.01,0.05,0.150526316,0.088181818,0.23625,,,,
,quiche,0.05,0.1,0.28,0.2,0.38,0.11,0.65,-0.02,0.04,1,0.17,0.44,0.02,0,0.03,-0.04,0.03,-0.02,0.04,-0.04,0.127368421,0.063,0.198888889,,,,
,eggs,0.06,0.08,0.16,0.19,0.53,0.23,0.32,0.03,0.06,0.17,1,0.15,0.04,0.28,0.05,0.06,-0.01,0.12,0.03,0.06,0.137368421,0.086666667,0.183,,,,
,broccoli,0.02,0.02,0.22,0.14,0.37,0.14,0.57,0.01,0.05,0.44,0.15,1,0.05,0.01,-0.01,-0.04,0.03,0.05,0,0.01,0.117368421,0.0125,0.193636364,,,,
,tree,0.03,-0.04,0.13,0.09,0.1,0.18,0.06,0.06,0.07,0.02,0.04,0.05,1,0.33,0.77,0.08,0.25,0.11,0.11,0.01,0.128947368,0.237142857,0.065833333,,,,
,snake,0.04,0.04,0.17,0.08,0.23,0.16,0.11,0.05,0,0,0.28,0.01,0.33,1,0.41,0.19,0.26,0.17,0.15,0.14,0.148421053,0.22,0.115384615,,,,
,squirrel,0.02,-0.03,0.14,0.19,0.18,0.21,0.05,0.19,0.21,0.03,0.05,-0.01,0.77,0.41,1,0.17,0.34,0.07,0.07,-0.03,0.159473684,0.124,0.172142857,,,,
,bunny,0.01,0.09,0.07,0.13,0.15,0.11,0.03,0.2,0.19,-0.04,0.06,-0.04,0.08,0.19,0.17,1,0.16,0.05,0.02,0.07,0.089473684,0.075,0.093333333,,,,
,cat,0.08,-0.01,0.11,0.14,0.17,0.02,0.11,0.36,0.24,0.03,-0.01,0.03,0.25,0.26,0.34,0.16,1,0.04,0.01,0.09,0.127368421,0.046666667,0.1425,,,,
,water,0.11,0.07,0.26,0.14,0.13,0.07,0.08,0.06,0.05,-0.02,0.12,0.05,0.11,0.17,0.07,0.05,0.04,1,0.21,0.35,0.111578947,0.28,0.091764706,,,,
,river,0.02,0.01,0.06,0.06,0.05,0.11,0.03,0.02,0.01,0.04,0.03,0,0.11,0.15,0.07,0.02,0.01,0.21,1,0.33,0.070526316,0.33,0.056111111,,,,
,lake,0.01,-0.03,0.07,0.08,0.05,-0.03,0.02,0.05,0.05,-0.04,0.06,0.01,0.01,0.14,-0.03,0.07,0.09,0.35,0.33,1,0.066315789,,0.066315789,,,,
,,,,,,,,,,,,,,,,,,,,,,0.134157895,0.144983136,0.168737432,,,,
216,Document,table,stability,food,study,book,wood,chair,plate,clean,cup,dinner,lunch,breakfast,best,bang,beer,bar,loose,still,marble,,,,,,,0
,table,1,0.1,0.08,0.05,0.16,0.15,0.61,0.32,0.21,0.44,0.57,0.27,0.43,0.14,0.05,0.11,0.16,0.09,0.22,0.15,0.226842105,0.226842105,,0.218421053,0.191111111,0.19,
,stability,0.1,1,0.02,0.1,0.06,0.04,0.01,0.05,0.06,0.01,-0.01,0,-0.02,0.1,0.01,-0.01,0.05,0.14,0.15,0.02,0.046315789,0.043333333,0.1,,,,
,food,0.08,0.02,1,0.08,0.04,0.14,0.04,0.1,0.17,0.15,0.21,0.2,0.17,0.14,0,0.06,0.05,0.09,0.2,0.03,0.103684211,0.11,0.05,,,,
,study,0.05,0.1,0.08,1,0.16,0.02,0.1,0.02,0.11,0.11,0.06,0.08,0.05,0.23,0,0.04,0.06,0.13,0.22,0.13,0.092105263,0.095,0.076666667,,,,
,book,0.16,0.06,0.04,0.16,1,0.04,0.18,0.02,0.07,0.09,0.07,0.09,0.1,0.23,0.07,0.01,0.05,0.07,0.18,0.04,0.091052632,0.087333333,0.105,,,,
,wood,0.15,0.04,0.14,0.02,0.04,1,0.08,0.1,0.1,0.19,0.11,0.04,0.09,0.11,0.06,0.1,0.05,0.16,0.23,0.21,0.106315789,0.116428571,0.078,,,,
,chair,0.61,0.01,0.04,0.1,0.18,0.08,1,0.19,0.24,0.42,0.48,0.3,0.41,0.15,0.21,0.09,0.18,0.22,0.42,0.16,0.236315789,0.266923077,0.17,,,,
,plate,0.32,0.05,0.1,0.02,0.02,0.1,0.19,1,0.18,0.37,0.37,0.17,0.23,0.07,0.08,0.07,0.08,0.11,0.2,0.13,0.150526316,0.171666667,0.114285714,,,,
,clean,0.21,0.06,0.17,0.11,0.07,0.1,0.24,0.18,1,0.25,0.24,0.21,0.19,0.25,0.11,0.08,0.08,0.32,0.24,0.09,0.168421053,0.187272727,0.1425,,,,
,cup,0.44,0.01,0.15,0.11,0.09,0.19,0.42,0.37,0.25,1,0.55,0.41,0.55,0.19,0.1,0.32,0.17,0.16,0.32,0.15,0.260526316,0.292,0.225555556,,,,
,dinner,0.57,-0.01,0.21,0.06,0.07,0.11,0.48,0.37,0.24,0.55,1,0.6,0.65,0.27,0.15,0.19,0.15,0.12,0.33,0.21,0.28,0.296666667,0.265,,,,
,lunch,0.27,0,0.2,0.08,0.09,0.04,0.3,0.17,0.21,0.41,0.6,1,0.62,0.31,0.27,0.13,0.11,0.09,0.28,0.11,0.225789474,0.24,0.215454545,,,,
,breakfast,0.43,-0.02,0.17,0.05,0.1,0.09,0.41,0.23,0.19,0.55,0.65,0.62,1,0.25,0.15,0.09,0.12,0.07,0.31,0.07,0.238421053,0.151428571,0.289166667,,,,
,best,0.14,0.1,0.14,0.23,0.23,0.11,0.15,0.07,0.25,0.19,0.27,0.31,0.25,1,0.11,0.11,0.11,0.25,0.41,0.16,0.188947368,0.191666667,0.187692308,,,,
,bang,0.05,0.01,0,0,0.07,0.06,0.21,0.08,0.11,0.1,0.15,0.27,0.15,0.11,1,0.04,0.09,0.21,0.21,0.05,0.103684211,0.12,0.097857143,,,,
,beer,0.11,-0.01,0.06,0.04,0.01,0.1,0.09,0.07,0.08,0.32,0.19,0.13,0.09,0.11,0.04,1,0.14,0.05,0.13,0.11,0.097894737,0.1075,0.095333333,,,,
,bar,0.16,0.05,0.05,0.06,0.05,0.05,0.18,0.08,0.08,0.17,0.15,0.11,0.12,0.11,0.09,0.14,1,0.13,0.18,0.13,0.11,0.146666667,0.103125,,,,
,loose,0.09,0.14,0.09,0.13,0.07,0.16,0.22,0.11,0.32,0.16,0.12,0.09,0.07,0.25,0.21,0.05,0.13,1,0.34,0.12,0.151052632,0.23,0.141764706,,,,
,still,0.22,0.15,0.2,0.22,0.18,0.23,0.42,0.2,0.24,0.32,0.33,0.28,0.31,0.41,0.21,0.13,0.18,0.34,1,0.27,0.254736842,0.27,0.253888889,,,,
,marble,0.15,0.02,0.03,0.13,0.04,0.21,0.16,0.13,0.09,0.15,0.21,0.11,0.07,0.16,0.05,0.11,0.13,0.12,0.27,1,0.123157895,,0.123157895,,,,
,,,,,,,,,,,,,,,,,,,,,,0.162789474,0.176354126,0.150627252,,,,
217,Document,table,chair,leg,foot,toe,nail,polish,color,blue,boy,girl,pink,dress,skirt,shirt,sleeve,cold,winter,sweater,snow,,,,,,,0
,table,1,0.61,0.14,0.13,0.1,0.13,0.1,0.03,0.12,0.08,0.13,0.21,0.18,0.12,0.2,0.2,0.06,0.05,0.11,0.06,0.145263158,0.145263158,,0.417368421,0.289444444,0.234705882,
,chair,0.61,1,0.26,0.26,0.22,0.13,0.17,0.07,0.21,0.22,0.22,0.37,0.33,0.31,0.39,0.29,0.13,0.07,0.3,0.04,0.242105263,0.221666667,0.61,,,,
,leg,0.14,0.26,1,0.52,0.56,0.22,0.08,0.01,0.12,0.19,0.16,0.17,0.15,0.2,0.3,0.26,0.09,0.06,0.11,0.08,0.193684211,0.192941176,0.2,,,,
,foot,0.13,0.26,0.52,1,0.67,0.2,0.1,0.09,0.21,0.16,0.18,0.25,0.19,0.31,0.36,0.31,0.17,0.16,0.21,0.22,0.247368421,0.236875,0.303333333,,,,
,toe,0.1,0.22,0.56,0.67,1,0.22,0.06,0,0.18,0.17,0.21,0.29,0.33,0.39,0.4,0.24,0.17,0.1,0.29,0.13,0.248947368,0.212,0.3875,,,,
,nail,0.13,0.13,0.22,0.2,0.22,1,0.24,0.07,0.02,0.07,0.06,0.11,0.05,0.1,0.11,0.19,0.09,0.03,0.12,0.04,0.115789474,0.092857143,0.18,,,,
,polish,0.1,0.17,0.08,0.1,0.06,0.24,1,0.04,0.11,0.06,0.14,0.14,0.17,0.16,0.18,0.15,0.14,0.14,0.15,0.07,0.126315789,0.126923077,0.125,,,,
,color,0.03,0.07,0.01,0.09,0,0.07,0.04,1,0.62,0.02,0.03,0.48,0.12,0.11,0.1,0.08,0.07,0.07,0.07,0.03,0.111052632,0.15,0.044285714,,,,
,blue,0.12,0.21,0.12,0.21,0.18,0.02,0.11,0.62,1,0.19,0.2,0.72,0.37,0.41,0.38,0.25,0.15,0.19,0.26,0.16,0.256315789,0.298181818,0.19875,,,,
,boy,0.08,0.22,0.19,0.16,0.17,0.07,0.06,0.02,0.19,1,0.53,0.19,0.07,0.09,0.37,0.15,0.11,0.1,0.13,0,0.152631579,0.174,0.128888889,,,,
,girl,0.13,0.22,0.16,0.18,0.21,0.06,0.14,0.03,0.2,0.53,1,0.36,0.44,0.42,0.28,0.2,0.13,0.09,0.32,0.06,0.218947368,0.255555556,0.186,,,,
,pink,0.21,0.37,0.17,0.25,0.29,0.11,0.14,0.48,0.72,0.19,0.36,1,0.59,0.58,0.44,0.29,0.2,0.19,0.42,0.13,0.322631579,0.355,0.299090909,,,,
,dress,0.18,0.33,0.15,0.19,0.33,0.05,0.17,0.12,0.37,0.07,0.44,0.59,1,0.73,0.61,0.35,0.17,0.16,0.6,0.12,0.301578947,0.391428571,0.249166667,,,,
,skirt,0.12,0.31,0.2,0.31,0.39,0.1,0.16,0.11,0.41,0.09,0.42,0.58,0.73,1,0.53,0.46,0.12,0.13,0.6,0.1,0.308947368,0.323333333,0.302307692,,,,
,shirt,0.2,0.39,0.3,0.36,0.4,0.11,0.18,0.1,0.38,0.37,0.28,0.44,0.61,0.53,1,0.52,0.22,0.14,0.59,0.12,0.328421053,0.318,0.332142857,,,,
,sleeve,0.2,0.29,0.26,0.31,0.24,0.19,0.15,0.08,0.25,0.15,0.2,0.29,0.35,0.46,0.52,1,0.21,0.15,0.34,0.2,0.254736842,0.225,0.262666667,,,,
,cold,0.06,0.13,0.09,0.17,0.17,0.09,0.14,0.07,0.15,0.11,0.13,0.2,0.17,0.12,0.22,0.21,1,0.67,0.27,0.61,0.198947368,0.516666667,0.139375,,,,
,winter,0.05,0.07,0.06,0.16,0.1,0.03,0.14,0.07,0.19,0.1,0.09,0.19,0.16,0.13,0.14,0.15,0.67,1,0.22,0.67,0.178421053,0.445,0.147058824,,,,
,sweater,0.11,0.3,0.11,0.21,0.29,0.12,0.15,0.07,0.26,0.13,0.32,0.42,0.6,0.6,0.59,0.34,0.27,0.22,1,0.2,0.279473684,0.2,0.283888889,,,,
,snow,0.06,0.04,0.08,0.22,0.13,0.04,0.07,0.03,0.16,0,0.06,0.13,0.12,0.1,0.12,0.2,0.61,0.67,0.2,1,0.16,,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,0.219578947,0.256878535,0.24330308,,,,
218,Document,table,chair,dinner,family,food,lunch,breakfast,glass,plate,silverware,party,restaurant,meal,living room,television,lamp,sunroom,friends,house,recliner,,,,,,,1
,table,1,0.61,0.57,0.12,0.08,0.27,0.43,0.16,0.32,0.39,0.04,0.34,0.37,0.33,0.05,0.2,N/A,0.18,0.14,0.01,0.256111111,0.256111111,,0.242941176,0.170625,0.178,
,chair,0.61,1,0.48,0.11,0.04,0.3,0.41,0.22,0.19,0.28,0.01,0.26,0.25,0.54,0.11,0.34,N/A,0.13,0.28,0.07,0.257222222,0.236470588,0.61,,,,
,dinner,0.57,0.48,1,0.23,0.21,0.6,0.65,0.14,0.37,0.46,0.11,0.56,0.62,0.31,0.08,0.19,N/A,0.35,0.32,0.01,0.347777778,0.325625,0.525,,,,
,family,0.12,0.11,0.23,1,0.13,0.13,0.13,0.06,0.02,0.16,0.03,0.14,0.2,0.18,0.12,0.07,N/A,0.33,0.21,0.03,0.133333333,0.129333333,0.153333333,,,,
,food,0.08,0.04,0.21,0.13,1,0.2,0.17,0.04,0.1,0.21,0.03,0.36,0.55,0.25,0.05,0.03,N/A,0.08,0.07,-0.01,0.143888889,0.152142857,0.115,,,,
,lunch,0.27,0.3,0.6,0.13,0.2,1,0.62,0.14,0.17,0.29,0.06,0.49,0.5,0.2,0.08,0.07,N/A,0.32,0.17,0.02,0.257222222,0.240769231,0.3,,,,
,breakfast,0.43,0.41,0.65,0.13,0.17,0.62,1,0.12,0.23,0.34,0.05,0.38,0.54,0.22,0.06,0.16,N/A,0.2,0.23,0.04,0.276666667,0.214166667,0.401666667,,,,
,glass,0.16,0.22,0.14,0.06,0.04,0.14,0.12,1,0.25,0.11,0.01,0.14,0.09,0.2,0.02,0.27,N/A,0.03,0.1,0.03,0.118333333,0.113636364,0.125714286,,,,
,plate,0.32,0.19,0.37,0.02,0.1,0.17,0.23,0.25,1,0.27,0.01,0.27,0.24,0.09,0.06,0.09,N/A,0.04,0.05,0.01,0.154444444,0.113,0.20625,,,,
,silverware,0.39,0.28,0.46,0.16,0.21,0.29,0.34,0.11,0.27,1,0.08,0.5,0.35,0.22,0.08,0.12,N/A,0.16,0.14,0,0.231111111,0.183333333,0.278888889,,,,
,party,0.04,0.01,0.11,0.03,0.03,0.06,0.05,0.01,0.01,0.08,1,0.06,0.05,0.05,0.05,0.03,N/A,0.19,0.11,0,0.053888889,0.0675,0.043,,,,
,restaurant,0.34,0.26,0.56,0.14,0.36,0.49,0.38,0.14,0.27,0.5,0.06,1,0.52,0.17,0.1,0.1,N/A,0.27,0.08,-0.04,0.261111111,0.171428571,0.318181818,,,,
,meal,0.37,0.25,0.62,0.2,0.55,0.5,0.54,0.09,0.24,0.35,0.05,0.52,1,0.17,0.06,0.1,N/A,0.18,0.16,0.01,0.275555556,0.113333333,0.356666667,,,,
,living room,0.33,0.54,0.31,0.18,0.25,0.2,0.22,0.2,0.09,0.22,0.05,0.17,0.17,1,0.15,0.26,N/A,0.16,0.25,0.03,0.21,0.17,0.225384615,,,,
